from_position,to_position,expected_distance_um,actual_distance_um,difference_um,feed
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.999904099540155,8.803167530644648,-1.1967365688955063,50.0
"(0.000000000,0.000000000)","(-0.007071000,0.007071000)",9.999904099540155,10.427448030996484,0.42754393145632896,50.0
"(-0.007071000,0.007071000)","(0.000000000,0.014142000)",9.999904099540155,8.385574996560004,-1.6143291029801503,50.0
"(0.000000000,0.014142000)","(0.007071000,0.007071000)",9.999904099540155,8.583275109033941,-1.4166289905062133,50.0
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.999904099540155,8.75815882247875,-1.2417452770614048,50.0
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10.0,4.556719261475887,-5.443280738524113,50.0
"(0.010000000,0.000000000)","(0.002929000,0.007071000)",9.999904099540155,9.688093413978798,-0.3118106855613565,50.0
"(0.002929000,0.007071000)","(0.010000000,0.014142000)",9.999904099540155,7.932740733389043,-2.067163366151112,50.0
"(0.010000000,0.014142000)","(0.017071000,0.007071000)",9.999904099540155,9.739205562292732,-0.2606985372474231,50.0
"(0.017071000,0.007071000)","(0.010000000,0.000000000)",9.999904099540155,8.441332694128684,-1.5585714054114703,50.0
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10.0,5.558529232087614,-4.441470767912386,50.0
"(0.000000000,0.000000000)","(-0.007071000,-0.007071000)",9.999904099540155,9.237970801250004,-0.7619332982901508,50.0
"(-0.007071000,-0.007071000)","(0.002929000,-0.007071000)",10.0,6.420808151382994,-3.579191848617006,50.0
"(0.002929000,-0.007071000)","(0.012929000,-0.007071000)",9.999999999999998,2.7270805254306962,-7.272919474569302,50.0
"(0.012929000,-0.007071000)","(0.005858000,0.000000000)",9.999904099540155,8.690593526757855,-1.3093105727822998,50.0
"(0.005858000,0.000000000)","(0.000000000,0.000000000)",5.8580000000000005,3.6771055823564742,-2.1808944176435263,50.0
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10.0,5.994152727957354,-4.005847272042646,50.0
"(0.010000000,0.000000000)","(0.020000000,0.000000000)",10.0,4.5563165940030155,-5.4436834059969845,50.0
"(0.020000000,0.000000000)","(0.010000000,0.000000000)",10.0,5.277862710748633,-4.722137289251367,50.0
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10.0,5.958539429268248,-4.041460570731752,50.0
"(0.000000000,0.000000000)","(0.000000000,0.010000000)",10.0,11.65242613393037,1.6524261339303692,50.0
"(0.000000000,0.010000000)","(0.000000000,0.020000000)",10.0,11.214980014767033,1.2149800147670327,50.0
"(0.000000000,0.020000000)","(0.000000000,0.010000000)",10.0,11.422213391832834,1.422213391832834,50.0
"(0.000000000,0.010000000)","(0.000000000,0.000000000)",10.0,11.601846947019052,1.6018469470190517,50.0
"(0.000000000,0.000000000)","(0.007071000,0.007071000)",9.999904099540155,8.27316445274355,-1.726739646796604,50.0
"(0.007071000,0.007071000)","(0.014142000,0.014142000)",9.999904099540155,8.83398335630843,-1.165920743231725,50.0
"(0.014142000,0.014142000)","(0.007071000,0.007071000)",9.999904099540155,8.986605912394916,-1.0132981871452387,50.0
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.999904099540155,8.291701079767568,-1.7082030197725864,50.0
"(0.000000000,0.000000000)","(-0.007071000,0.007071000)",9.999904099540155,9.501279626830836,-0.4986244727093183,50.0
"(-0.007071000,0.007071000)","(0.000000000,0.014142000)",9.999904099540155,8.426409020083225,-1.5734950794569293,50.0
"(0.000000000,0.014142000)","(0.007071000,0.007071000)",9.999904099540155,9.379404929212136,-0.6204991703280189,50.0
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.999904099540155,8.57200691790405,-1.427897181636105,50.0
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10.0,4.574585745063104,-5.425414254936896,50.0
"(0.010000000,0.000000000)","(0.002929000,0.007071000)",9.999904099540155,9.440878538019568,-0.5590255615205866,50.0
"(0.002929000,0.007071000)","(0.010000000,0.014142000)",9.999904099540155,7.885569230865763,-2.1143348686743915,50.0
"(0.010000000,0.014142000)","(0.017071000,0.007071000)",9.999904099540155,9.683659430586992,-0.3162446689531624,50.0
"(0.017071000,0.007071000)","(0.010000000,0.000000000)",9.999904099540155,8.548864418660681,-1.4510396808794734,50.0
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10.0,4.23207115504531,-5.76792884495469,50.0
"(0.000000000,0.000000000)","(-0.007071000,-0.007071000)",9.999904099540155,9.108180273235575,-0.8917238263045792,50.0
"(-0.007071000,-0.007071000)","(0.002929000,-0.007071000)",10.0,4.395389856101537,-5.604610143898463,50.0
"(0.002929000,-0.007071000)","(0.012929000,-0.007071000)",9.999999999999998,4.153335585012035,-5.846664414987964,50.0
"(0.012929000,-0.007071000)","(0.005858000,0.000000000)",9.999904099540155,9.131032611153763,-0.8688714883863913,50.0
"(0.005858000,0.000000000)","(0.000000000,0.000000000)",5.8580000000000005,3.529995984391406,-2.3280040156085944,50.0
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50.0,29.697668048684307,-20.302331951315693,50.0
"(0.050000000,0.000000000)","(0.100000000,0.000000000)",50.0,28.38533179296632,-21.61466820703368,50.0
"(0.100000000,0.000000000)","(0.050000000,0.000000000)",50.0,28.91267481964748,-21.08732518035252,50.0
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50.0,26.584530730407383,-23.415469269592617,50.0
"(0.000000000,0.000000000)","(0.000000000,0.050000000)",50.0,54.513616015970086,4.513616015970086,50.0
"(0.000000000,0.050000000)","(0.000000000,0.100000000)",50.0,40.13408375675225,-9.865916243247753,50.0
"(0.000000000,0.100000000)","(0.000000000,0.050000000)",50.0,40.79239102229414,-9.20760897770586,50.0
"(0.000000000,0.050000000)","(0.000000000,0.000000000)",50.0,54.963722397434054,4.963722397434054,50.0
"(0.000000000,0.000000000)","(0.035355000,0.035355000)",49.99952049770077,42.32886287627581,-7.670657621424965,50.0
"(0.035355000,0.035355000)","(0.070711000,0.070711000)",50.00093471126315,35.8275624902229,-14.173372221040246,50.0
"(0.070711000,0.070711000)","(0.035355000,0.035355000)",50.00093471126315,36.7299110169557,-13.271023694307452,50.0
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.99952049770077,41.612050547361214,-8.387469950339558,50.0
"(0.000000000,0.000000000)","(-0.035355000,0.035355000)",49.99952049770077,48.61312028883075,-1.3864002088700218,50.0
"(-0.035355000,0.035355000)","(0.000000000,0.070711000)",50.00022760948194,36.17076631433181,-13.829461295150132,50.0
"(0.000000000,0.070711000)","(0.035355000,0.035355000)",50.00022760948194,41.46182411056143,-8.538403498920509,50.0
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.99952049770077,40.55568946048406,-9.443831037216711,50.0
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50.0,29.587710343296514,-20.412289656703486,50.0
"(0.050000000,0.000000000)","(0.014645000,0.035355000)",49.99952049770078,47.16930456785598,-2.8302159298447975,50.0
"(0.014645000,0.035355000)","(0.050000000,0.070711000)",50.00022760948194,35.71534963160798,-14.284877977873961,50.0
"(0.050000000,0.070711000)","(0.085355000,0.035355000)",50.00022760948194,41.86876200908268,-8.13146560039926,50.0
"(0.085355000,0.035355000)","(0.050000000,0.000000000)",49.99952049770077,41.46201661510371,-8.537503882597065,50.0
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50.0,29.52091329154994,-20.47908670845006,50.0
"(0.000000000,0.000000000)","(-0.035355000,-0.035355000)",49.99952049770077,40.885010058171936,-9.114510439528836,50.0
"(-0.035355000,-0.035355000)","(0.014645000,-0.035355000)",49.99999999999999,31.08128356907618,-18.918716430923812,50.0
"(0.014645000,-0.035355000)","(0.064645000,-0.035355000)",49.99999999999999,28.247568190853297,-21.752431809146696,50.0
"(0.064645000,-0.035355000)","(0.029289000,0.000000000)",50.00022760948194,46.13822518538748,-3.862002424094456,50.0
"(0.029289000,0.000000000)","(0.000000000,0.000000000)",29.288999999999998,15.032799199888164,-14.256200800111834,50.0
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50.0,28.62056130910183,-21.37943869089817,50.0
"(0.050000000,0.000000000)","(0.100000000,0.000000000)",50.0,30.062464421264412,-19.937535578735588,50.0
"(0.100000000,0.000000000)","(0.050000000,0.000000000)",50.0,30.987829968793775,-19.012170031206225,50.0
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50.0,29.592762509188145,-20.407237490811855,50.0
"(0.000000000,0.000000000)","(0.000000000,0.050000000)",50.0,52.48400887577179,2.484008875771792,50.0
"(0.000000000,0.050000000)","(0.000000000,0.100000000)",50.0,42.244931328886146,-7.755068671113854,50.0
"(0.000000000,0.100000000)","(0.000000000,0.050000000)",50.0,41.69986407794331,-8.30013592205669,50.0
"(0.000000000,0.050000000)","(0.000000000,0.000000000)",50.0,53.064907059801875,3.0649070598018753,50.0
"(0.000000000,0.000000000)","(0.035355000,0.035355000)",49.99952049770077,42.806188983003146,-7.1933315146976256,50.0
"(0.035355000,0.035355000)","(0.070711000,0.070711000)",50.00093471126315,35.95829492971026,-14.042639781552886,50.0
"(0.070711000,0.070711000)","(0.035355000,0.035355000)",50.00093471126315,37.352661398968195,-12.648273312294954,50.0
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.99952049770077,40.84992425386579,-9.149596243834985,50.0
"(0.000000000,0.000000000)","(-0.035355000,0.035355000)",49.99952049770077,47.60215575486823,-2.3973647428325435,50.0
"(-0.035355000,0.035355000)","(0.000000000,0.070711000)",50.00022760948194,35.77073071125014,-14.229496898231801,50.0
"(0.000000000,0.070711000)","(0.035355000,0.035355000)",50.00022760948194,40.601020274069924,-9.399207335412015,50.0
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.99952049770077,40.362759737075926,-9.636760760624846,50.0
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50.0,27.727761360485538,-22.272238639514462,50.0
"(0.050000000,0.000000000)","(0.014645000,0.035355000)",49.99952049770078,45.67625457544098,-4.3232659222598,50.0
"(0.014645000,0.035355000)","(0.050000000,0.070711000)",50.00022760948194,34.29312978126249,-15.707097828219446,50.0
"(0.050000000,0.070711000)","(0.085355000,0.035355000)",50.00022760948194,43.49865909521928,-6.501568514262658,50.0
"(0.085355000,0.035355000)","(0.050000000,0.000000000)",49.99952049770077,41.37724686943074,-8.62227362827003,50.0
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50.0,27.520085651339794,-22.479914348660206,50.0
"(0.000000000,0.000000000)","(-0.035355000,-0.035355000)",49.99952049770077,41.37226574606952,-8.627254751631249,50.0
"(-0.035355000,-0.035355000)","(0.014645000,-0.035355000)",49.99999999999999,31.529743209209578,-18.470256790790415,50.0
"(0.014645000,-0.035355000)","(0.064645000,-0.035355000)",49.99999999999999,26.836728676479524,-23.16327132352047,50.0
"(0.064645000,-0.035355000)","(0.029289000,0.000000000)",50.00022760948194,43.75905354318589,-6.241174066296047,50.0
"(0.029289000,0.000000000)","(0.000000000,0.000000000)",29.288999999999998,16.207452635550688,-13.08154736444931,50.0
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100.0,55.84104904916439,-44.15895095083561,50.0
"(0.100000000,0.000000000)","(0.200000000,0.000000000)",100.0,82.0978815342655,-17.902118465734503,50.0
"(0.200000000,0.000000000)","(0.100000000,0.000000000)",100.0,80.75813479037062,-19.24186520962938,50.0
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100.0,58.301002562602484,-41.698997437397516,50.0
"(0.000000000,0.000000000)","(0.000000000,0.100000000)",100.0,93.3552246702432,-6.644775329756797,50.0
"(0.000000000,0.100000000)","(0.000000000,0.200000000)",100.0,116.59605936839482,16.59605936839482,50.0
"(0.000000000,0.200000000)","(0.000000000,0.100000000)",100.0,115.86542463270773,15.865424632707729,50.0
"(0.000000000,0.100000000)","(0.000000000,0.000000000)",100.0,95.52221268670617,-4.477787313293831,50.0
"(0.000000000,0.000000000)","(0.070711000,0.070711000)",100.00045520896391,77.92881451802974,-22.071640690934174,50.0
"(0.070711000,0.070711000)","(0.141421000,0.141421000)",99.99904099540154,74.20293261949502,-25.796108375906527,50.0
"(0.141421000,0.141421000)","(0.070711000,0.070711000)",99.99904099540154,72.5462808397417,-27.452760155659846,50.0
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.00045520896391,78.0892321237845,-21.911223085179415,50.0
"(0.000000000,0.000000000)","(-0.070711000,0.070711000)",100.00045520896391,85.4909883380022,-14.509466870961717,50.0
"(-0.070711000,0.070711000)","(0.000000000,0.141421000)",99.99974810468274,71.26550976604129,-28.734238338641447,50.0
"(0.000000000,0.141421000)","(0.070711000,0.070711000)",99.99974810468274,79.52911280517446,-20.470635299508274,50.0
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.00045520896391,77.36158538170474,-22.63886982725917,50.0
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100.0,58.34017556547599,-41.65982443452401,50.0
"(0.100000000,0.000000000)","(0.029289000,0.070711000)",100.00045520896391,86.43633793425607,-13.56411727470784,50.0
"(0.029289000,0.070711000)","(0.100000000,0.141421000)",99.99974810468275,69.79774539867502,-30.202002706007733,50.0
"(0.100000000,0.141421000)","(0.170711000,0.070711000)",99.99974810468274,88.59822739429089,-11.40152071039185,50.0
"(0.170711000,0.070711000)","(0.100000000,0.000000000)",100.00045520896391,87.67655928412165,-12.323895924842262,50.0
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100.0,57.132130049233346,-42.867869950766654,50.0
"(0.000000000,0.000000000)","(-0.070711000,-0.070711000)",100.00045520896391,79.92834794935841,-20.072107259605502,50.0
"(-0.070711000,-0.070711000)","(0.029289000,-0.070711000)",99.99999999999999,62.810779274599945,-37.18922072540004,50.0
"(0.029289000,-0.070711000)","(0.129289000,-0.070711000)",99.99999999999999,59.82398842037378,-40.176011579626206,50.0
"(0.129289000,-0.070711000)","(0.058579000,0.000000000)",99.99974810468274,84.52585527350034,-15.473892831182397,50.0
"(0.058579000,0.000000000)","(0.000000000,0.000000000)",58.579,35.708393406487374,-22.870606593512626,50.0
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100.0,59.68310843094015,-40.31689156905985,50.0
"(0.100000000,0.000000000)","(0.200000000,0.000000000)",100.0,78.64250185367507,-21.35749814632493,50.0
"(0.200000000,0.000000000)","(0.100000000,0.000000000)",100.0,77.75121882422292,-22.248781175777083,50.0
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100.0,60.43844483406638,-39.56155516593362,50.0
"(0.000000000,0.000000000)","(0.000000000,0.100000000)",100.0,95.45335439387314,-4.546645606126859,50.0
"(0.000000000,0.100000000)","(0.000000000,0.200000000)",100.0,115.39694573212302,15.396945732123015,50.0
"(0.000000000,0.200000000)","(0.000000000,0.100000000)",100.0,115.62922029249444,15.629220292494438,50.0
"(0.000000000,0.100000000)","(0.000000000,0.000000000)",100.0,94.56126897347791,-5.438731026522092,50.0
"(0.000000000,0.000000000)","(0.070711000,0.070711000)",100.00045520896391,77.4956539237541,-22.50480128520981,50.0
"(0.070711000,0.070711000)","(0.141421000,0.141421000)",99.99904099540154,74.76386198479099,-25.23517901061055,50.0
"(0.141421000,0.141421000)","(0.070711000,0.070711000)",99.99904099540154,76.76318856432769,-23.23585243107385,50.0
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.00045520896391,76.93688804270843,-23.06356716625548,50.0
"(0.000000000,0.000000000)","(-0.070711000,0.070711000)",100.00045520896391,86.45363264885488,-13.546822560109035,50.0
"(-0.070711000,0.070711000)","(0.000000000,0.141421000)",99.99974810468274,74.63071178660361,-25.369036318079125,50.0
"(0.000000000,0.141421000)","(0.070711000,0.070711000)",99.99974810468274,79.8187991361122,-20.180948968570533,50.0
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.00045520896391,77.86129432441706,-22.139160884546854,50.0
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100.0,60.87888356490467,-39.12111643509533,50.0
"(0.100000000,0.000000000)","(0.029289000,0.070711000)",100.00045520896391,87.94021741233905,-12.060237796624861,50.0
"(0.029289000,0.070711000)","(0.100000000,0.141421000)",99.99974810468275,68.6578362530942,-31.34191185158855,50.0
"(0.100000000,0.141421000)","(0.170711000,0.070711000)",99.99974810468274,87.97074621693588,-12.029001887746858,50.0
"(0.170711000,0.070711000)","(0.100000000,0.000000000)",100.00045520896391,89.35965015400394,-10.64080505495997,50.0
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100.0,60.47024502342452,-39.52975497657548,50.0
"(0.000000000,0.000000000)","(-0.070711000,-0.070711000)",100.00045520896391,75.27820633580068,-24.722248873163238,50.0
"(-0.070711000,-0.070711000)","(0.029289000,-0.070711000)",99.99999999999999,56.86069457565123,-43.139305424348755,50.0
"(0.029289000,-0.070711000)","(0.129289000,-0.070711000)",99.99999999999999,60.495255368048234,-39.50474463195175,50.0
"(0.129289000,-0.070711000)","(0.058579000,0.000000000)",99.99974810468274,84.72409747890885,-15.275650625773892,50.0
"(0.058579000,0.000000000)","(0.000000000,0.000000000)",58.579,34.958741210590496,-23.620258789409505,50.0
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250.0,186.7147878586669,-63.28521214133309,50.0
"(0.250000000,0.000000000)","(0.500000000,0.000000000)",250.0,187.91239963667988,-62.08760036332012,50.0
"(0.500000000,0.000000000)","(0.250000000,0.000000000)",250.0,188.8544971886601,-61.145502811339895,50.0
"(0.250000000,0.000000000)","(0.000000000,0.000000000)",250.0,184.42632859867112,-65.57367140132888,50.0
"(0.000000000,0.000000000)","(0.000000000,0.250000000)",250.0,270.6213598351764,20.621359835176406,50.0
"(0.000000000,0.250000000)","(0.000000000,0.500000000)",250.0,233.75698730079608,-16.243012699203916,50.0
"(0.000000000,0.500000000)","(0.000000000,0.250000000)",250.0,232.45449172545003,-17.545508274549974,50.0
"(0.000000000,0.250000000)","(0.000000000,0.000000000)",250.0,270.9228127872756,20.922812787275575,50.0
"(0.000000000,0.000000000)","(0.176777000,0.176777000)",250.0004309156286,202.2120071934559,-47.78842372217272,50.0
"(0.176777000,0.176777000)","(0.353553000,0.353553000)",249.99901670206629,283.4199803098288,33.42096360776253,50.0
"(0.353553000,0.353553000)","(0.176777000,0.176777000)",249.99901670206629,243.47422537531753,-6.524791326748755,50.0
"(0.176777000,0.176777000)","(0.000000000,0.000000000)",250.0004309156286,201.1966881799013,-48.803742735727326,50.0
"(0.000000000,0.000000000)","(-0.176777000,0.176777000)",250.0004309156286,230.6841276248739,-19.316303290754718,50.0
"(-0.176777000,0.176777000)","(0.000000000,0.353553000)",249.99972380984744,214.66278297569514,-35.3369408341523,50.0
"(0.000000000,0.353553000)","(0.176777000,0.176777000)",249.99972380984744,254.26455760196106,4.26483379211362,50.0
"(0.176777000,0.176777000)","(0.000000000,0.000000000)",250.0004309156286,203.9211151838119,-46.079315731816706,50.0
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250.0,189.26138410012584,-60.73861589987416,50.0
"(0.250000000,0.000000000)","(0.073223000,0.176777000)",250.0004309156286,244.4461329918376,-5.554297923791012,50.0
"(0.073223000,0.176777000)","(0.250000000,0.353553000)",249.99972380984744,236.4171792024214,-13.58254460742603,50.0
"(0.250000000,0.353553000)","(0.426777000,0.176777000)",249.99972380984744,266.1518018594781,16.15207804963066,50.0
"(0.426777000,0.176777000)","(0.250000000,0.000000000)",250.0004309156286,204.89359582276066,-45.106835092867954,50.0
"(0.250000000,0.000000000)","(0.000000000,0.000000000)",250.0,188.4977719596209,-61.502228040379094,50.0
"(0.000000000,0.000000000)","(-0.176777000,-0.176777000)",250.0004309156286,206.58800524553146,-43.41242567009715,50.0
"(-0.176777000,-0.176777000)","(0.073223000,-0.176777000)",250.0,169.86464826210232,-80.13535173789768,50.0
"(0.073223000,-0.176777000)","(0.323223000,-0.176777000)",250.0,213.40586441962944,-36.59413558037056,50.0
"(0.323223000,-0.176777000)","(0.146447000,0.000000000)",249.9997238098474,254.53337990712427,4.533656097276861,50.0
"(0.146447000,0.000000000)","(0.000000000,0.000000000)",146.447,92.05064619329696,-54.39635380670305,50.0
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250.0,183.75319941208073,-66.24680058791927,50.0
"(0.250000000,0.000000000)","(0.500000000,0.000000000)",250.0,195.4336263300064,-54.566373669993595,50.0
